🕘️更新时间,#genre#
2025-08-08 11:21:35,http://home.l-ht.cn:4000/rtp/239.77.1.130:5146

❤汕头,#genre#
汕头新闻综合,http://home.l-ht.cn:4000/rtp/239.77.1.130:5146
汕头新闻综合,http://home.l-ht.cn:4000/rtp/239.253.43.45:5146
汕头新闻综合,http://n1.gzbody.com:85/rtp/239.77.1.130:5146
汕头新闻综合,http://n1.gzbody.com:85/rtp/239.253.43.45:5146
汕头经济生活,http://home.l-ht.cn:4000/rtp/239.77.1.131:5146
汕头经济生活,http://home.l-ht.cn:4000/rtp/239.253.43.46:5146
汕头经济生活,http://n1.gzbody.com:85/rtp/239.77.1.131:5146
汕头经济生活,http://n1.gzbody.com:85/rtp/239.253.43.46:5146

🥘潮汕,#genre#
潮州民生,http://home.l-ht.cn:4000/rtp/239.253.43.75:5146
潮州民生,http://n1.gzbody.com:85/rtp/239.253.43.75:5146
潮州综合,http://home.l-ht.cn:4000/rtp/239.253.43.70:5146
潮州综合,http://n1.gzbody.com:85/rtp/239.253.43.70:5146
揭阳生活,http://hls-jyrtv.jyrtv.tv/stjy2020/ggpd.m3u8
揭阳生活,http://home.l-ht.cn:4000/rtp/239.77.0.251:5146
揭阳生活,http://n1.gzbody.com:85/rtp/239.77.0.251:5146
揭阳综合,http://hls-jyrtv.jyrtv.tv/stjy2020/zhpd.m3u8
揭阳综合,http://home.l-ht.cn:4000/rtp/239.77.0.229:5146
揭阳综合,http://n1.gzbody.com:85/rtp/239.77.0.229:5146

📺央视频道,#genre#
CCTV1-综合,http://home.l-ht.cn:4000/rtp/239.77.0.129:5146
CCTV1-综合,http://n1.gzbody.com:85/rtp/239.77.0.86:5146
CCTV1-综合,http://n1.gzbody.com:85/rtp/239.77.0.14:5146
CCTV1-综合,http://n1.gzbody.com:85/rtp/239.77.0.119:5146
CCTV1-综合,http://n1.gzbody.com:85/rtp/239.77.0.129:5146
CCTV1-综合,http://n1.gzbody.com:85/rtp/239.77.1.17:5146
CCTV1-综合,http://n1.gzbody.com:85/rtp/239.77.1.144:5146
CCTV1-综合,http://n1.gzbody.com:85/rtp/239.77.1.76:5146
CCTV1-综合,http://n1.gzbody.com:85/rtp/239.77.0.30:5146
CCTV1-综合,http://ygbh.site/php/bfgd.php?id=488
CCTV2-财经,http://home.l-ht.cn:4000/rtp/239.77.1.158:5146
CCTV2-财经,http://n1.gzbody.com:85/rtp/239.77.1.158:5146
CCTV2-财经,http://n1.gzbody.com:85/rtp/239.77.0.31:5146
CCTV2-财经,http://ygbh.site/php/bfgd.php?id=061
